ཀླུབས,ཀླུབ
ཀློགས,ཀློག
ཁུགས,ཁུག
ཁུན,འཁུན
ཁུམ,འགུམ
ཁུམས,འཁུམས
ཁེགས,ཁེག
ཁེངས,ཁེང
ཁེབས,ཁེབ
ཁེར,ཀེར
ཁེལ,འཁེལ
ཁོག,འགོག
ཁོང,འགེངས
ཁོན,འཁོན
ཁོབ,འགེབ
ཁོས,འགས
ཁྱགས,འཁྱགས
ཁྱིགས,འཁྱིག
ཁྱེད,འགྱེད
ཁྲིལ,འཁྲིལ
ཁྲུས,འཁྲུད
ཁྲོབ,འཁྲབ
ཁྲོབས,འཁྲབ
གཅད,གཅོད
གཅིར,འཆིར
གཅུར,འཇུར
གཅོར,གཅར
གཉག,གཉོག
གཉགས,གཉོག
གཉད,གཉོད
གཏགས,གཏག
གཏང,གཏོང
གཏད,གཏོད
གཏིགས,གཏིག
གཏོན,གཏན
གཏོམས,གཏམས
གཏོར,གཏར
གདག,འདོག
གདགས,འདོགས
གདངས,གདང
གདབ,འདེབས
གདམ,འདེམ
གདིང,འདིང
གདུངས,གདུང
གདུད,འདུད
གདུལ,འདུལ
གདེག,འདེགས
གདོངས,གདང
གདོན,འདོན
གདོནད,འདོན
གདོམས,འདེམ
གདོལ,གདལ
གནན,གནོན
གནོར,གནར
གནོས,ནོད
གཙགས,གཙག
གཙབས,གཙབ
གཙིར,འཚིར
གཙོགས,གཙག
གཙོབས,གཙབ
གཞག,འཇོག
གཞལ,འཇལ
གཞིབ,འཇིབ
གཞིབས,འཇིབ
གཞིལ,འཇིལ
གཞུག,འཇུག
གཞོགས,བཞོག
གཞོམ,འཇོམས
གཞོར,གཞར
གཞོས,འཇོ
གཟགས,གཟག
གཟིང,གཟེང
གཟུགས,འཛུགས
གཟུང,འཛིན
གཟུད,འཛུད
གཟུར,འཛུར
གཟེངས,གཟེང
གཟེད,འཛེད
གཟེམ,འཛེམ
གཟེར,འཛར
གཟོགས,གཟག
གཟོན,གཟན
གཟོབ,གཟབ
གཟོབས,གཟབ
གཟོར,གཟར
གཡིགས,གཡིག
གཡོར,གཡར
གཤག,གཤོག
གཤགས,གཤོག
གཤལ,བཤལ
གཤུམ,བཤུམ
གཤོགས,གཤོག
གཤོངས,གཤོང
གསག,གསོག
གསངས,གསང
གསད,གསོད
གསབ,གསོབ
གསིགས,གསིག
གསིངས,གསིང
གསོགས,གསེག
གསོང,གསང
གསོངས,གསང
གསོན,གསན
གོབ,གབ
གྱིས,བགྱིད
གྱུར,འགྱུར
གྱུརད,འགྱུར
གྲགས,གྲག
གྲིམ,གྲིམས
གྲིལ,འགྲིལ
གྲུགས,གྲུག
གྲུངས,བགྲུང
གྲུབ,འགྲུབ
གྲུམས,གྲུམ
གྲུས,བགྲུད
གྲེམས,འགྲེམ
གླས,གླ
གློད,ཀློད
གློས,གླ
ཅིལ,འཇིལ
ཅེམས,ཅེམ
ཆག,འཆག
ཆགས,འཆག
ཆད,འཆད
ཆིབས,འཆིབ
ཆིར,འཆིར
ཆིལ,འཇིལ
ཆུག,འཇུག
ཆུགས,འཇུག
ཆུམ,འཇུམ
ཆུམས,འཇུམ
ཆུར,འཇུར
ཆོགས,འཆག
ཆོབས,འཆབ
ཆོམ,འཇོམས
ཆོམས,གཅོམ
ཆོར,གཅར
ཆོལ,འཆོལ
ཉོར,ཉར
ཉོལ,ཉལ
ཏིངས,འདིང
ཐག,འཐག
ཐིང,འདིང
ཐིམ,འཐིམ
ཐུངས,འཐུང
ཐུད,འདུད
ཐུམས,དུམ
ཐེགས,ཐེག
ཐེམ,ཐེམས
ཐེམས,འཐེམ
ཐོག,འདོག
ཐོམ,འདམ
ཐོམས,སོམས
ཐོར,འཐོར
དཀུས,དཀུ
དཀྲབ,འཁྲབ
དཀྲོལ,འཁྲོལ
དག,འདག
དགག,འགོག
དགང,འགེངས
དགད,འགད
དགབ,འགེབ
དགལ,འགེལ
དགས,འགས
དགུག,འགུགས
དགུམ,འགུམ
དགོག,འགོག
དགོལ,འཁོལ
དགྱེད,འགྱེད
དགྲོངས,དགྲོང
དངངས,དངང
དཔོར,དཔར
དཔྱང,དཔྱོང
དཔྱངས,དཔྱོང
དཔྱས,དཔྱ
དཔྱོངས,དཔྱོང
དཔྱོས,དཔྱ
དབགས,དབག
དབབ,འབེབས
དབུག,འབིག
དབོ,འབོ
དབོག,འབོགས
དབྱི,འབྱིད
དབྱུང,འབྱིན
དབྱེ,འབྱེད
དབྲད,འབྲད
དབྲབ,འབྲབ
དབྲི,འཕྲི
དམས,དམའ
དམེས,དམེ
དམོན,རྨོ
དམོར,དམར
དུགས,གདུག
དུངས,དུང
དོངས,འདོང
དོད,བཏོད
དྲ,འདྲ
དྲང,འདྲེན
དྲངས,འདྲེན
དྲས,འདྲ
དྲུབ,དྲུབས
དྲུམས,གྲུམས
དྲོངས,འདྲེན
དྲོན,དྲན
དྲོལ,དྲལ
ནུ,ནུས
ནོབས,ནབ
ནོམས,ནོམ
ནོལ,མནོལ
ཕབ,འབེབས
ཕམ,འཕམ
ཕིག,འབིག
ཕིགས,འབིག
ཕུགས,འབིག
ཕོ,འབོ
ཕོགས,འབོགས
ཕོངས,འཕོངས
ཕོབ,འབེབས
ཕོས,འབོ
ཕྱག,འཕྱག
ཕྱགས,འཕྱག
ཕྱི,འབྱིད
ཕྱིད,འཕྱིད
ཕྱིས,འབྱིད
ཕྱུང,འབྱིན
ཕྱུངས,འབྱིན
ཕྱེ,འབྱེད
ཕྱེས,འབྱེད
ཕྱོགས,འཕྱག
ཕྲད,འཕྲད
ཕྲས,འཕྲ
ཕྲི,འཕྲི
ཕྲུགས,འཕྲུག
