ཀུམ ཀུམ
ཀེར ཀེར
ཀྲུགས ཀྲུགས
ཀླན ཀླན
ཀླལ ཀླལ
ཀླས ཀླས
ཀླུབ ཀླུབ
ཀླུབས ཀླུབ
ཀློག ཀློག
ཀློགས ཀློག
ཀློད ཀློད
དཀག དཀག
དཀུ དཀུ
དཀུས དཀུ
དཀྱུ 0
དཀྱུས 0
དཀྱོག 0
དཀྱོགས 0
དཀྲབ འཁྲབ
དཀྲི 0
དཀྲིག 0
དཀྲིགས 0
དཀྲིས 0
དཀྲུག 0
དཀྲུགས 0
དཀྲུམ 0
དཀྲུམས 0
དཀྲོག 0
དཀྲོགས 0
དཀྲོལ འཁྲོལ
བཀག འགོག
བཀང འགེངས
བཀད འགད
བཀན བཀན
བཀབ འགེབ
བཀར 0
བཀལ 0
བཀས འགས
བཀུ 0
བཀུག འགུགས
བཀུམ འགུམ
བཀུར བཀུར
བཀུས 0
བཀོག འགོག
བཀོང 0
བཀོངས 0
བཀོད འགོད
བཀོན 0
བཀོལ འཁོལ
བཀྱག 0
བཀྱགས 0
བཀྱལ 0
བཀྱིག འཁྱིག
བཀྱིགས འཁྱིག
བཀྱེ འགྱེད
བཀྱེད འགྱེད
བཀྱེས འགྱེད
བཀྱོན བཀྱོན
བཀྲབ འཁྲབ
བཀྲབས བཀྲབས
བཀྲམ 0
བཀྲལ འགྲེལ
བཀྲི འཁྲིད
བཀྲིས འཁྲིད
བཀྲུ འཁྲུད
བཀྲུམས དཀྲུམ
བཀྲུས འཁྲུད
བཀྲེས བཀྲེས
བཀྲོངས དགྲོང
བཀྲོབས འཁྲབ
བཀྲོལ 0
བཀླག ཀློག
བཀླགས ཀློག
བཀླུབ ཀླུབ
བཀླུབས ཀླུབ
རྐམ རྐམ
རྐུ 0
རྐུས 0
རྐོ 0
རྐོམས རྐམ
རྐོས 0
རྐྱལ རྐྱལ
རྐྱོང རྐྱོང
རྐྱོངས རྐྱོང
རྐྱོལ རྐྱལ
ལྐུགས ལྐུགས
སྐུག སྐུག
སྐུགས སྐུག
སྐུང སྐུང
སྐུངས སྐུང
སྐུད སྐུད
སྐུམ སྐུམ
སྐུམས སྐུམ
སྐུར 0
སྐུལ 0
སྐུས སྐུད
སྐེམ སྐེམ
སྐེམས སྐེམ
སྐོ སྐོ
སྐོང སྐོང
སྐོངས སྐོང
སྐོན 0
སྐོམ སྐོམ
སྐོམས སྐེམ
སྐོར 0
སྐོལ 0
སྐོས སྐོ
སྐྱ སྐྱ
སྐྱི སྐྱི
སྐྱིལ 0
སྐྱིས སྐྱི
སྐྱུག སྐྱུག
སྐྱུགས སྐྱུག
སྐྱུང སྐྱུང
